"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.8623285864475,0.222897790776143,26.3005235091588,2.70266420699102e-96
"distmiss",-0.00124866646360689,0.000313452769171737,-3.98358727825677,7.79959645159601e-05
"countryParaguay",3.5575682322222,0.0850526355588656,41.8278423572187,3.03687212146159e-165
"coast",-0.232705424512731,0.0309993608438888,-7.50678137154581,2.80846338333777e-13
"river",-0.0942936668971153,0.0546138111831671,-1.72655350092429,0.0848667970589638
"preci",0.00019427923863397,0.000142216923801427,1.36607678918182,0.172530188635681
"alti",0.000107221802759589,8.62839561312442e-05,1.24266210738526,0.214575994332158
