"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",91.7243352534124,2.7127824113832,33.8119028155465,2.02171337960349e-135
"distmiss",-0.00485406825238912,0.0034165289377644,-1.4207601752571,0.15596364894096
"countryBRA",-2.87763900630191,0.989400337293943,-2.90846778380164,0.00378152627316799
"countryParaguay",-0.548585430015093,0.915389529269078,-0.599291790515812,0.549229664171908
"coast",-1.06234459615856,0.308446289494348,-3.44418017769032,0.00061728321192552
"river",-1.8017246487699,0.692352442951555,-2.60232294565033,0.00951373656704602
"preci",0.00400064070681116,0.00154531157772447,2.58888936346561,0.00988814838681242
"alti",-0.0024668762080526,0.00106920152285316,-2.30721351899102,0.0214202925599149
